horse_name,horse_id,umaban,horse_weight,weight_carry,age,sex,distance,surface,condition,course,course_enc,surface_enc,condition_enc,sex_enc,horse_num,num_horses,odds,pop_rank,jockey_name,finish,bracket,race_id,prev_finish,prev2_finish,prev3_finish,avg_finish_3r,best_finish_3r,top3_count_3r,finish_trend,prev_odds_log,rest_days,rest_category,dist_change,dist_change_abs,target
ポリバレント,2017103396,8,514,56.0,5,牡,1600,ダ,良,姫路,15,1,0,0,8,11,15.0,8,吉村智洋,1,6,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ガミラスジャクソン,2017100297,9,489,56.0,5,牡,1600,ダ,良,姫路,15,1,0,0,9,11,15.0,8,鴨宮祥行,2,6,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
フミタツティンクル,2016105736,2,446,54.0,6,牝,1600,ダ,良,姫路,15,1,0,1,2,11,15.0,8,大山真吾,3,1,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ジャーミネイト,2014105348,7,492,56.0,8,牡,1600,ダ,良,姫路,15,1,0,0,7,11,15.0,8,下原理,4,5,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
リリーマイスター,2015105511,6,518,56.0,7,牡,1600,ダ,良,姫路,15,1,0,0,6,11,15.0,8,長谷部駿,5,4,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ハギノアグレッシブ,2015103562,4,483,56.0,7,セ,1600,ダ,良,姫路,15,1,0,2,4,11,15.0,8,高松亮,6,3,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
バンローズキングス,2016103601,10,489,56.0,6,牡,1600,ダ,良,姫路,15,1,0,0,10,11,15.0,8,笹田知宏,7,7,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
イッチョウ,2015100953,11,456,56.0,7,牡,1600,ダ,良,姫路,15,1,0,0,11,11,15.0,8,寺地誠一,8,8,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ダイヤモンドリリー,2017100973,1,456,53.0,5,牝,1600,ダ,良,姫路,15,1,0,1,1,11,15.0,8,木本直,9,1,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
マントルパワー,2015101799,5,488,56.0,7,牡,1600,ダ,良,姫路,15,1,0,0,5,11,15.0,8,大柿一真,10,3,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
フィリーズラン,2016100505,3,418,54.0,6,牝,1600,ダ,良,姫路,15,1,0,1,3,11,15.0,8,永井孝典,11,2,202251012511,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ヒシハルク,2018105374,7,509,56.0,4,牡,1600,ダ,良,,10,1,0,0,7,11,15.0,8,板野央,1,5,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
リュウノクララ,2018104109,10,467,54.0,4,牝,1600,ダ,良,,10,1,0,1,10,11,15.0,8,大柿一真,2,7,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
オメガプランタン,2015104380,4,442,57.0,7,牡,1600,ダ,良,,10,1,0,0,4,11,15.0,8,落合玄太,3,3,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
エクレウステソーロ,2018102664,9,450,56.0,4,牡,1600,ダ,良,,10,1,0,0,9,11,15.0,8,吉村智洋,4,6,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
アピールデザイン,2018101503,6,436,55.0,4,牝,1600,ダ,良,,10,1,0,1,6,11,15.0,8,井上幹太,5,4,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
プロフーモ,2017100831,11,429,54.0,5,牝,1600,ダ,良,,10,1,0,1,11,11,15.0,8,長谷部駿,6,8,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ビーポーレン,2017104252,5,482,54.0,5,牝,1600,ダ,良,,10,1,0,1,5,11,15.0,8,廣瀬航,7,3,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
サイゴウパワー,2016105943,8,457,56.0,6,セ,1600,ダ,良,,10,1,0,2,8,11,15.0,8,高畑皓一,8,6,202251012512,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
