race_id,num_horses,tierce_count,tierce_min,tierce_max,tierce_median,tierce_p10
202506040801,11,990,24.1,21606.8,1420.1,204.7
202506040802,16,3360,70.1,769999.8,9269.0,821.8
202506040803,16,3360,47.2,769999.8,15706.2,980.1
202506040804,16,3360,79.5,278559.7,5696.8,771.2
202506040805,16,3360,38.8,769999.8,13153.8,863.3
202506040806,16,3360,70.0,684274.8,6504.0,758.5
202506040807,16,3360,42.6,196465.6,7725.2,830.6
202506040808,16,3360,87.6,769999.8,8119.8,718.3
202506040809,9,504,28.8,32442.4,763.7,105.3
202506040810,16,3360,58.9,377067.6,7579.0,806.5
202506040811,16,3360,72.2,91184.2,5025.8,811.0
202506040812,16,3360,34.7,594059.2,12314.3,931.5
202509040801,15,2730,86.1,50496.1,3931.5,645.6
202509040802,9,504,18.9,13102.0,886.3,109.3
202509040803,15,2730,53.4,287988.5,5638.6,645.8
202509040804,16,3360,48.6,191323.3,6799.0,793.8
202509040805,11,990,38.2,21255.8,1195.2,235.4
202509040806,13,1716,37.9,136316.4,3889.7,427.0
202509040807,16,3360,40.2,516677.9,10676.6,877.0
202509040808,13,1716,27.9,129636.9,4417.2,415.3
202509040809,8,336,20.4,4104.3,375.9,77.4
202509040810,16,3360,96.8,561545.2,6167.7,767.8
202509040811,14,2184,43.7,53105.6,3441.8,530.9
202509040812,16,3360,48.7,109439.0,7863.1,833.0
202506040901,12,1320,66.8,49518.6,1859.0,318.9
202506040902,16,3360,47.5,441045.2,10126.3,881.7
202506040903,16,3360,29.9,769999.8,13800.0,945.0
202506040904,16,3360,32.3,769999.8,13811.6,926.2
202506040905,17,4080,38.9,769999.8,12346.5,1097.9
202506040906,16,3360,67.8,412206.7,6167.3,805.0
202506040907,16,3360,27.6,769999.8,18617.7,984.2
202506040908,16,3360,62.7,455436.1,7481.3,794.6
202506040909,8,336,24.1,6218.3,410.6,74.3
202506040910,13,1716,52.1,93671.4,2593.7,400.6
202506040911,16,3360,114.3,265342.7,4480.2,750.7
202506040912,16,3360,97.8,244889.2,5052.4,772.8
202509040901,13,1716,21.5,107325.1,4270.7,470.5
202509040902,14,2184,67.4,112223.8,3697.9,518.6
202509040903,10,720,34.0,18255.3,1037.4,162.1
202509040904,9,504,33.2,12078.4,574.0,114.7
