race_id,num_horses,umaren_count,umaren_min,umaren_max,umaren_median,umaren_p10
202008020404,13,78,5.5,2051.6,348.7,37.7
202008020405,12,66,6.6,2395.3,224.4,33.7
202008020406,16,120,13.4,4552.1,374.4,59.1
202008020407,13,78,10.6,2406.9,261.3,48.5
202008020408,13,78,11.7,2197.3,220.0,42.7
202008020409,16,120,13.8,3553.9,427.7,93.4
202008020410,16,120,11.9,3780.7,412.6,71.5
202008020411,8,28,9.0,425.6,70.8,11.2
202008020412,12,66,8.0,1438.4,244.6,42.9
202010010801,14,91,10.6,2661.8,301.2,57.1
202010010802,14,91,13.8,1256.2,181.9,61.8
202010010803,18,153,27.4,2823.7,356.3,83.9
202010010804,16,120,14.1,5029.3,457.2,63.3
202010010805,18,153,20.6,5884.7,491.7,84.1
202010010806,11,55,14.9,476.7,121.8,35.1
202010010807,9,36,10.7,450.3,84.2,16.6
202010010808,14,91,17.0,1308.9,233.3,53.5
202010010809,18,153,20.2,6615.0,461.7,69.1
202010010810,16,120,20.2,1851.7,299.4,73.0
202010010811,13,78,16.7,2267.6,162.0,46.1
202010010812,13,78,13.6,1914.3,204.4,55.2
202005010501,16,120,13.4,9999.8,423.7,63.8
202005010502,16,120,7.3,9999.8,801.9,81.3
202005010503,16,120,15.0,9999.8,449.3,59.0
202005010504,16,120,10.3,9999.8,480.8,61.6
202005010505,16,120,11.1,9999.8,718.1,104.5
202005010506,14,91,8.4,6953.6,372.1,60.6
202005010507,16,120,13.0,9999.8,404.4,68.7
202005010508,16,120,15.7,9999.8,444.4,56.2
202005010509,15,105,14.0,3552.6,270.4,63.6
202005010510,16,120,18.0,5223.2,296.5,67.0
202005010511,14,91,17.4,3669.5,274.9,47.9
202005010512,16,120,19.6,9999.8,389.9,65.6
202008020501,16,120,8.9,9999.8,605.1,67.4
202008020502,11,55,10.1,1123.3,189.2,38.2
202008020503,16,120,15.7,4732.7,437.6,67.5
202008020504,14,91,12.9,2497.7,272.4,58.1
202008020505,13,78,6.7,2557.3,316.1,52.7
202008020506,16,120,10.9,3827.6,420.1,72.9
202008020507,16,120,10.3,4922.3,369.8,64.2
202008020508,13,78,12.6,1851.7,242.3,41.0
202008020509,7,21,6.0,276.9,52.8,13.2
202008020510,12,66,17.8,1195.7,136.3,37.2
202008020511,13,78,16.7,1566.5,176.8,51.4
202008020512,15,105,10.0,4620.7,339.0,58.3
202010010901,14,91,20.5,761.6,192.9,65.2
202010010902,11,55,17.0,1328.5,124.3,25.7
202010010903,14,91,11.6,2169.3,216.3,51.5
202010010904,18,153,22.5,3550.4,348.9,84.7
202010010905,12,66,12.8,862.1,156.0,33.7
202010010906,11,55,15.0,500.6,101.2,30.8
202010010907,10,45,9.2,372.8,109.5,30.5
202010010908,13,78,15.2,2668.4,174.5,41.9
202010010909,14,91,16.3,891.1,191.5,65.0
202010010910,12,66,15.9,804.5,147.6,39.4
202010010911,17,136,16.4,3421.4,354.5,67.2
202010010912,15,105,14.0,4193.7,322.9,67.8
202005010601,16,120,16.2,9999.8,478.9,68.5
202005010602,16,120,19.2,9999.8,428.9,53.1
202005010603,16,120,20.0,9999.8,383.6,64.9
202005010604,16,120,14.2,7515.2,435.3,46.4
202005010605,16,120,6.6,9999.8,512.1,71.8
202005010606,14,91,11.1,4309.0,308.4,44.5
202005010607,16,120,9.5,9999.8,366.2,61.2
202005010608,12,66,15.4,726.3,148.5,43.3
202005010609,15,105,13.9,3927.5,284.0,62.9
202005010610,16,120,17.7,2602.8,353.9,81.7
202005010611,9,36,7.0,1497.6,126.9,18.3
202005010612,12,66,12.1,3278.2,216.1,40.7
202008020601,15,105,12.3,5147.2,364.2,58.2
202008020602,16,120,10.3,4754.0,548.3,79.3
202008020603,13,78,11.4,1667.5,202.0,49.1
202008020604,13,78,13.4,1728.9,202.9,41.3
202008020605,14,91,12.5,2593.1,256.2,49.3
202008020606,16,120,9.0,4599.4,476.0,73.7
202008020607,16,120,13.6,2275.3,374.5,72.9
202008020608,9,36,5.5,883.7,124.3,15.4
202008020609,7,21,9.0,124.9,35.3,11.8
202008020610,14,91,7.4,2764.0,315.4,45.5
202008020611,10,45,7.2,9999.9,140.7,25.6
202008020612,16,120,23.6,3833.5,314.5,67.4
202010011001,16,120,16.6,5053.9,383.4,64.6
202010011002,12,66,10.0,1522.0,199.3,33.5
202010011003,18,153,20.1,9312.6,450.5,94.6
202010011004,13,78,13.6,2277.5,207.0,40.4
202010011005,12,66,15.0,816.0,148.6,37.8
202010011006,12,66,14.7,776.5,153.4,45.9
202010011007,13,78,14.8,1798.8,198.4,42.6
202010011008,14,91,20.9,1446.4,175.7,54.1
202010011009,14,91,26.1,2846.9,252.9,40.2
202010011010,16,120,18.8,2947.9,339.3,63.5
202010011011,17,136,12.7,3751.1,442.8,72.5
202010011012,10,45,9.3,573.7,119.2,25.8
202005010701,16,120,10.1,9999.8,584.1,69.0
202005010702,16,120,17.4,8257.9,484.6,61.5
202005010703,16,120,16.0,9999.8,367.3,65.7
202005010704,16,120,14.4,9999.8,523.2,59.3
202005010705,16,120,17.0,9999.8,482.6,50.1
202005010706,12,66,15.7,4743.2,244.8,29.8
202005010707,16,120,11.3,6502.9,446.5,74.6
202005010708,7,21,9.0,360.2,49.4,10.5
202005010709,16,120,15.9,6119.1,396.5,68.9
202005010710,16,120,13.5,9999.8,402.0,66.4
202005010711,16,120,14.9,3000.9,344.7,69.3
202005010712,13,78,9.8,1409.8,206.3,37.1
202008020701,16,120,6.3,9999.8,913.4,85.0
202008020702,15,105,10.6,9999.8,540.0,57.3
202008020703,16,120,14.5,9999.8,522.5,63.9
202008020704,14,91,8.9,1645.5,283.5,64.4
202008020705,16,120,12.1,6736.7,500.1,95.9
202008020706,10,45,11.0,548.1,102.7,24.7
202008020707,7,21,6.4,556.4,65.5,10.8
202008020708,16,120,22.5,4056.6,281.6,70.9
202008020709,8,28,9.6,250.9,48.9,13.8
202008020710,16,120,16.7,2154.7,320.1,75.1
202008020711,17,136,24.2,9450.9,370.2,56.1
202008020712,16,120,21.4,5401.2,279.1,63.5
202010011101,16,120,14.5,6506.5,357.4,57.9
202010011102,15,105,10.9,2317.1,371.8,61.9
202010011103,18,153,11.5,8349.3,592.7,93.4
202010011104,16,120,16.3,2841.2,322.5,71.5
202010011105,15,105,21.9,1403.9,231.6,57.9
202010011106,7,21,6.6,522.5,62.2,9.3
202010011107,17,136,19.5,2651.8,289.6,85.5
202010011108,14,91,10.8,1717.8,313.4,58.0
202010011109,11,55,9.3,696.5,139.3,30.0
202010011110,16,120,12.3,5426.2,402.4,72.4
202010011111,18,153,13.0,4934.7,491.9,76.9
202010011112,17,136,20.6,3056.6,395.0,85.5
202005010801,16,120,9.0,6671.7,425.8,83.4
202005010802,16,120,13.0,9999.8,454.6,63.5
202005010803,16,120,17.1,9999.8,275.4,67.6
202005010804,16,120,12.6,9999.8,459.6,63.6
202005010805,10,45,7.1,3085.0,201.6,25.0
202005010806,11,55,7.0,2770.2,233.8,40.3
202005010807,16,120,15.2,9861.9,436.3,68.2
202005010808,10,45,5.6,1595.0,154.4,21.4
202005010809,14,91,9.9,2657.1,284.6,56.8
202005010810,10,45,10.6,1053.5,110.4,25.1
202005010811,16,120,8.5,8359.2,511.4,76.0
202005010812,16,120,14.6,9999.8,388.9,73.6
202008020801,16,120,9.5,1877.9,387.7,68.5
202008020802,16,120,13.6,2917.8,352.9,71.0
202008020803,15,105,10.8,9999.8,473.4,52.2
202008020804,14,91,16.0,3511.5,330.7,40.9
